created_at,retweet_count,sentiment,followers_count,verified
1523053392,203,0.5,26,0
1523053387,0,0.5,48891,0
1523053391,15,0.5,188,0
1523053386,0,0.5,1403,0
1523053390,1,0.5,141894,0
1523053401,0,0.5,1843,0
1523053401,0,0.5,1843,0
1523053396,9,0.5,25,0
1523053381,2,0.5,5124,0
1523053386,0,0.5,1403,0
1523053383,66,0.5,5340,0
1523053384,15,0.5,1099,0
1523053387,0,0.5,52,0
1523053387,0,0.5,48891,0
1523053381,2,0.5,5124,0
1523053389,0,0.5,587,0
1523053380,0,0.5,97,0
1523053387,0,0.5,52,0
1523053380,0,0.5,389,0
1523053387,1,0.5,48891,0
1523053386,0,0.5,1403,0
1523053390,0,0.5,141894,0
1523053380,0,0.5,97,0
1523053384,15,0.5,1099,0
1523053380,0,0.5,389,0
1523053381,2,0.5,5124,0
1523053384,15,0.5,1099,0
1523053383,66,0.5,5340,0
1523053380,0,0.5,97,0
1523053380,0,0.5,389,0
1523053386,0,0.5,1403,0
1523053404,0,0.5,76981,0
1523053405,279,0.5,60,0
1523053380,0,0.5,389,0
1523053380,0,0.5,97,0
1523053387,0,0.5,52,0
1523053394,0,0.5,8935,0
1523053396,490,0.5,0,0
1523053387,1,0.5,48891,0
1523053403,0,0.5,24,0
1523053402,21,0.5,1099,0
1523053403,728,0.5,1378,0
1523053404,0,0.5,76981,0
1523053405,279,0.5,60,0
1523053402,3,0.5,1178,0
1523053407,1,0.5,435,0
1523053396,491,0.5,0,0
1523053392,203,0.5,26,0
1523053387,0,0.5,52,0
1523053380,0,0.5,97,0
1523053383,66,0.5,5340,0
1523053390,1,0.5,141894,0
1523053403,728,0.5,1378,0
1523053403,0,0.5,24,0
1523053394,0,0.5,8935,0
1523053386,0,0.5,1403,0
1523053384,15,0.5,1099,0
1523053403,728,0.5,1378,0
1523053380,0,0.5,97,0
1523053402,3,0.5,1178,0
1523053380,0,0.5,389,0
1523053402,21,0.5,1099,0
1523053380,0,0.5,389,0
1523053401,491,0.5,1,0
1523053383,66,0.5,5340,0
1523053408,323,0.5,5501,0
1523053381,2,0.5,5124,0
1523053407,1,0.5,435,0
1523053380,0,0.5,97,0
1523053404,0,0.5,76981,0
1523053403,728,0.5,1378,0
1523053398,9,0.5,619,0
1523053398,66,0.5,2266,0
1523053380,0,0.5,389,0
1523053408,323,0.5,5501,0
1523053401,0,0.5,1843,0
1523053401,0,0.5,1843,0
1523053398,9,0.5,619,0
1523053396,9,0.5,25,0
1523053398,66,0.5,2266,0
1523053395,0,0.5,128,0
1523053380,0,0.5,389,0
1523053394,0,0.5,8935,0
1523053396,490,0.5,0,0
1523053401,490,0.5,1,0
1523053401,0,0.5,1843,0
1523053390,0,0.5,141894,0
1523053380,0,0.5,97,0
1523053402,3,0.5,1178,0
1523053392,203,0.5,26,0
1523053396,490,0.5,0,0
1523053391,15,0.5,188,0
1523053402,21,0.5,1099,0
1523053398,9,0.5,619,0
1523053407,1,0.5,435,0
1523053394,0,0.5,8935,0
1523053402,21,0.5,1099,0
1523053390,0,0.5,141894,0
1523053395,0,0.5,128,0
1523053412,97,0.5,5652,0
1523053387,1,0.5,48891,0
1523053396,490,0.5,0,0
1523053401,490,0.5,1,0
1523053412,0,0.5,20050,0
1523053396,9,0.5,25,0
1523053390,0,0.5,141894,0
1523053398,66,0.5,2266,0
1523053390,0,0.5,141894,0
1523053387,0,0.5,52,0
1523053381,2,0.5,5124,0
1523053392,203,0.5,26,0
1523053380,0,0.5,97,0
1523053403,728,0.5,1378,0
1523053389,0,0.5,587,0
1523053387,0,0.5,48891,0
1523053391,15,0.5,188,0
1523053386,0,0.5,1403,0
1523053383,66,0.5,5340,0
1523053380,0,0.5,389,0
1523053384,15,0.5,1099,0
1523053390,0,0.5,141894,0
1523053398,66,0.5,2266,0
1523053396,9,0.5,25,0
1523053398,9,0.5,619,0
1523053405,279,0.5,60,0
1523053381,2,0.5,5124,0
1523053390,0,0.5,141894,0
1523053403,0,0.5,24,0
1523053402,21,0.5,1099,0
1523053392,203,0.5,26,0
1523053395,0,0.5,128,0
1523053380,0,0.5,389,0
1523053387,1,0.5,48891,0
1523053407,1,0.5,435,0
1523053389,0,0.5,587,0
1523053387,0,0.5,52,0
1523053384,15,0.5,1099,0
1523053403,0,0.5,24,0
1523053380,0,0.5,97,0
1523053407,1,0.5,435,0
1523053387,0,0.5,52,0
1523053405,279,0.5,60,0
1523053386,0,0.5,1403,0
1523053404,0,0.5,76981,0
1523053383,66,0.5,5340,0
1523053381,2,0.5,5124,0
1523053408,323,0.5,5501,0
1523053391,15,0.5,188,0
1523053389,0,0.5,587,0
1523053411,117,0.5,5783,0
1523053395,0,0.5,128,0
1523053405,279,0.5,60,0
1523053409,3454,0.5,290,0
1523053403,0,0.5,24,0
1523053390,0,0.5,141894,0
1523053403,728,0.5,1378,0
1523053411,0,0.5,722,0
1523053380,0,0.5,97,0
1523053384,15,0.5,1099,0
1523053381,2,0.5,5124,0
1523053402,3,0.5,1178,0
1523053387,0,0.5,52,0
1523053387,1,0.5,48891,0
1523053396,491,0.5,0,0
1523053403,728,0.5,1378,0
1523053398,9,0.5,619,0
1523053386,0,0.5,1403,0
1523053404,0,0.5,76981,0
1523053383,66,0.5,5340,0
1523053401,491,0.5,1,0
1523053402,21,0.5,1099,0
1523053380,0,0.5,389,0
1523053407,1,0.5,435,0
1523053408,323,0.5,5501,0
1523053401,0,0.5,1843,0
1523053396,9,0.5,25,0
1523053398,66,0.5,2266,0
1523053403,0,0.5,24,0
1523053391,15,0.5,188,0
1523053402,3,0.5,1178,0
1523053396,9,0.5,25,0
1523053413,1,0.5,435,0
1523053395,0,0.5,128,0
1523053392,203,0.5,26,0
1523053394,0,0.5,8935,0
1523053413,1,0.5,24,0
1523053398,66,0.5,2266,0
1523053389,0,0.5,587,0
1523053392,203,0.5,26,0
1523053408,323,0.5,5501,0
1523053411,117,0.5,5783,0
1523053409,3454,0.5,290,0
1523053384,15,0.5,1099,0
1523053386,0,0.5,1403,0
1523053403,728,0.5,1378,0
1523053384,15,0.5,1099,0
1523053398,9,0.5,619,0
1523053403,728,0.5,1378,0
1523053401,0,0.5,1843,0
1523053396,490,0.5,0,0
1523053383,66,0.5,5340,0
1523053381,2,0.5,5124,0
1523053396,9,0.5,25,0
1523053396,490,0.5,0,0
1523053387,0,0.5,52,0
1523053380,0,0.5,97,0
1523053384,15,0.5,1099,0
1523053396,9,0.5,25,0
1523053380,0,0.5,389,0
1523053396,490,0.5,0,0
1523053398,9,0.5,619,0
1523053380,0,0.5,389,0
1523053383,66,0.5,5340,0
1523053381,2,0.5,5124,0
1523053398,66,0.5,2266,0
1523053380,0,0.5,97,0
1523053390,0,0.5,141894,0
1523053389,0,0.5,587,0
1523053387,0,0.5,48891,0
1523053405,279,0.5,60,0
1523053386,0,0.5,1403,0
1523053384,15,0.5,1099,0
1523053401,490,0.5,1,0
1523053404,1,0.5,76981,0
1523053386,0,0.5,1403,0
1523053384,15,0.5,1099,0
1523053404,0,0.5,76981,0
1523053387,0,0.5,52,0
1523053384,15,0.5,1099,0
1523053387,1,0.5,48891,0
1523053383,66,0.5,5340,0
1523053381,2,0.5,5124,0
1523053403,0,0.5,24,0
1523053412,0,0.5,20050,0
1523053412,97,0.5,5652,0
1523053413,1,0.5,435,0
1523053411,0,0.5,722,0
1523053409,3454,0.5,290,0
1523053380,0,0.5,97,0
1523053386,0,0.5,1403,0
1523053390,1,0.5,141894,0
1523053381,2,0.5,5124,0
1523053383,66,0.5,5340,0
1523053380,0,0.5,389,0
1523053389,0,0.5,587,0
1523053387,0,0.5,48891,0
1523053387,0,0.5,52,0
1523053384,15,0.5,1099,0
1523053380,0,0.5,97,0
1523053394,0,0.5,8935,0
1523053414,0,0.5,1060,0
1523053403,0,0.5,24,0
1523053403,728,0.5,1378,0
1523053405,279,0.5,60,0
1523053402,3,0.5,1178,0
1523053404,0,0.5,76981,0
1523053387,0,0.5,52,0
1523053403,0,0.5,24,0
1523053408,323,0.5,5501,0
1523053407,1,0.5,435,0
1523053381,2,0.5,5124,0
1523053396,9,0.5,25,0
1523053396,490,0.5,0,0
1523053402,3,0.5,1178,0
1523053401,490,0.5,1,0
1523053395,0,0.5,128,0
1523053392,203,0.5,26,0
1523053403,728,0.5,1378,0
1523053396,490,0.5,0,0
1523053381,2,0.5,5124,0
1523053403,0,0.5,24,0
1523053381,2,0.5,5124,0
1523053394,0,0.5,8935,0
1523053395,0,0.5,128,0
1523053396,490,0.5,0,0
1523053392,203,0.5,26,0
1523053396,9,0.5,25,0
1523053391,15,0.5,188,0
1523053391,15,0.5,188,0
1523053380,0,0.5,389,0
1523053402,21,0.5,1099,0
1523053386,0,0.5,1403,0
1523053389,0,0.5,587,0
1523053391,15,0.5,188,0
1523053394,0,0.5,8935,0
1523053384,15,0.5,1099,0
1523053387,0,0.5,48891,0
1523053380,0,0.5,389,0
1523053381,2,0.5,5124,0
1523053386,0,0.5,1403,0
1523053383,66,0.5,5340,0
1523053404,0,0.5,76981,0
1523053408,323,0.5,5501,0
