created_at,retweet_count,sentiment,followers_count,verified
1523050696,455,0.5,64,0
1523050696,14,0.5,4762,0
1523050699,759,0.5,46,0
1523050697,713,0.5,10738,0
1523050697,4867,0.5,1350,0
1523050696,0,0.5,9392,0
1523050697,0,0.5,80,0
1523050691,0,0.5,213,0
1523050691,0,0.5,1253,0
1523050694,7,0.5,48,0
1523050702,0,0.5,7630,0
1523050699,759,0.5,46,0
1523050698,0,0.5,18868,0
1523050684,7,0.5,435,0
1523050697,0,0.5,80,0
1523050690,81,0.5,1719,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050690,81,0.5,1719,0
1523050689,35,0.5,4942,0
1523050687,0,0.5,9392,0
1523050699,503,0.5,0,0
1523050684,7,0.5,435,0
1523050697,713,0.5,10738,0
1523050684,7,0.5,435,0
1523050702,3,0.5,187,0
1523050685,4,0.5,270,0
1523050697,4867,0.5,1350,0
1523050684,7,0.5,435,0
1523050696,455,0.5,64,0
1523050693,0,0.5,2847,0
1523050696,0,0.5,9392,0
1523050703,345,0.5,1381,0
1523050699,503,0.5,0,0
1523050698,0,0.5,18868,0
1523050684,7,0.5,435,0
1523050685,4,0.5,270,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050684,7,0.5,435,0
1523050696,14,0.5,4762,0
1523050686,0,0.5,18868,0
1523050702,503,0.5,0,0
1523050700,0,0.5,9392,0
1523050702,503,0.5,0,0
1523050700,0,0.5,9392,0
1523050702,0,0.5,7630,0
1523050704,23,0.5,150,0
1523050703,345,0.5,1381,0
1523050702,3265,0.5,257,0
1523050703,345,0.5,1381,0
1523050703,34,0.5,35,0
1523050703,758,0.5,4942,0
1523050706,594,0.5,2537,0
1523050702,0,0.5,7630,0
1523050700,193,0.5,1713,0
1523050703,758,0.5,4942,0
1523050709,505,0.5,0,0
1523050702,3265,0.5,257,0
1523050702,3,0.5,187,0
1523050702,3,0.5,187,0
1523050704,23,0.5,150,0
1523050684,7,0.5,435,0
1523050702,505,0.5,0,0
1523050685,4,0.5,270,0
1523050687,0,0.5,9392,0
1523050686,0,0.5,18868,0
1523050689,35,0.5,4942,0
1523050684,7,0.5,435,0
1523050703,758,0.5,4942,0
1523050702,3265,0.5,257,0
1523050689,35,0.5,4942,0
1523050691,0,0.5,213,0
1523050709,652,0.5,47,0
1523050709,1575,0.5,47,0
1523050684,7,0.5,435,0
1523050698,0,0.5,18868,0
1523050691,0,0.5,213,0
1523050697,0,0.5,80,0
1523050697,0,0.5,80,0
1523050699,503,0.5,0,0
1523050687,0,0.5,9392,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050684,7,0.5,435,0
1523050693,0,0.5,2847,0
1523050703,345,0.5,1381,0
1523050702,0,0.5,7630,0
1523050703,758,0.5,4942,0
1523050702,3265,0.5,257,0
1523050702,3,0.5,187,0
1523050704,23,0.5,150,0
1523050703,34,0.5,35,0
1523050702,505,0.5,0,0
1523050702,0,0.5,7630,0
1523050702,3265,0.5,257,0
1523050690,81,0.5,1719,0
1523050694,0,0.5,18868,0
1523050691,503,0.5,0,0
1523050691,0,0.5,1253,0
1523050694,7,0.5,48,0
1523050694,0,0.5,18868,0
1523050693,0,0.5,2847,0
1523050703,758,0.5,4942,0
1523050687,0,0.5,9392,0
1523050686,0,0.5,18868,0
1523050712,33,0.5,1142,0
1523050691,0,0.5,191,0
1523050690,81,0.5,1719,0
1523050691,0,0.5,1253,0
1523050696,0,0.5,9392,0
1523050697,713,0.5,10738,0
1523050697,4867,0.5,1350,0
1523050702,0,0.5,7630,0
1523050702,3,0.5,187,0
1523050700,0,0.5,9392,0
1523050691,0,0.5,191,0
1523050691,0,0.5,213,0
1523050699,505,0.5,0,0
1523050696,455,0.5,64,0
1523050702,3265,0.5,257,0
1523050696,14,0.5,4762,0
1523050702,505,0.5,0,0
1523050698,0,0.5,18868,0
1523050700,193,0.5,1713,0
1523050690,81,0.5,1719,0
1523050691,509,0.5,0,0
1523050697,0,0.5,80,0
1523050700,193,0.5,1713,0
1523050699,505,0.5,0,0
1523050696,14,0.5,4762,0
1523050697,4867,0.5,1350,0
1523050702,0,0.5,7630,0
1523050685,4,0.5,270,0
1523050697,4867,0.5,1350,0
1523050698,0,0.5,18868,0
1523050691,0,0.5,191,0
1523050696,14,0.5,4762,0
1523050702,3,0.5,187,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,1253,0
1523050702,505,0.5,0,0
1523050694,7,0.5,48,0
1523050697,4867,0.5,1350,0
1523050697,0,0.5,80,0
1523050700,0,0.5,9392,0
1523050691,0,0.5,213,0
1523050699,505,0.5,0,0
1523050686,0,0.5,18868,0
1523050690,81,0.5,1719,0
1523050685,4,0.5,270,0
1523050712,588,0.5,2537,0
1523050693,0,0.5,2847,0
1523050706,594,0.5,2537,0
1523050694,0,0.5,18868,0
1523050687,0,0.5,9392,0
1523050697,713,0.5,10738,0
1523050696,455,0.5,64,0
1523050698,0,0.5,18868,0
1523050699,759,0.5,46,0
1523050691,505,0.5,0,0
1523050700,193,0.5,1713,0
1523050689,35,0.5,4942,0
1523050691,0,0.5,213,0
1523050693,0,0.5,2847,0
1523050691,0,0.5,1253,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,213,0
1523050691,503,0.5,0,0
1523050691,0,0.5,191,0
1523050697,0,0.5,80,0
1523050697,713,0.5,10738,0
1523050694,0,0.5,18868,0
1523050694,7,0.5,48,0
1523050697,0,0.5,80,0
1523050685,4,0.5,270,0
1523050685,4,0.5,270,0
1523050686,0,0.5,18868,0
1523050687,0,0.5,9392,0
1523050684,7,0.5,435,0
1523050694,0,0.5,18868,0
1523050684,7,0.5,435,0
1523050703,34,0.5,35,0
1523050691,0,0.5,191,0
1523050694,7,0.5,48,0
1523050699,759,0.5,46,0
1523050696,14,0.5,4762,0
1523050697,0,0.5,80,0
1523050686,0,0.5,18868,0
1523050689,35,0.5,4942,0
1523050690,81,0.5,1719,0
1523050697,713,0.5,10738,0
1523050684,7,0.5,435,0
1523050687,0,0.5,9392,0
1523050685,4,0.5,270,0
1523050687,0,0.5,9392,0
1523050693,0,0.5,2847,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050691,503,0.5,0,0
1523050687,0,0.5,9392,0
1523050684,7,0.5,435,0
1523050694,0,0.5,18868,0
1523050693,0,0.5,2847,0
1523050693,0,0.5,2847,0
1523050696,0,0.5,9392,0
1523050696,14,0.5,4762,0
1523050689,35,0.5,4942,0
1523050697,4867,0.5,1350,0
1523050690,81,0.5,1719,0
1523050696,14,0.5,4762,0
1523050694,0,0.5,18868,0
1523050706,594,0.5,2537,0
1523050709,1,0.5,612,0
1523050706,0,0.5,47,0
1523050703,34,0.5,35,0
1523050703,345,0.5,1381,0
1523050706,1,0.5,1867,0
1523050696,455,0.5,64,0
1523050703,758,0.5,4942,0
1523050699,505,0.5,0,0
1523050702,3,0.5,187,0
1523050697,713,0.5,10738,0
1523050709,1575,0.5,47,0
1523050706,594,0.5,2537,0
1523050709,1575,0.5,47,0
1523050702,0,0.5,7630,0
1523050703,758,0.5,4942,0
1523050704,23,0.5,150,0
1523050703,34,0.5,35,0
1523050703,34,0.5,35,0
1523050691,0,0.5,1253,0
1523050703,345,0.5,1381,0
1523050702,3,0.5,187,0
1523050699,759,0.5,46,0
1523050697,713,0.5,10738,0
1523050704,23,0.5,150,0
1523050703,758,0.5,4942,0
1523050696,14,0.5,4762,0
1523050703,758,0.5,4942,0
1523050700,193,0.5,1713,0
1523050713,0,0.5,292,0
1523050700,0,0.5,9392,0
1523050700,0,0.5,9392,0
1523050700,193,0.5,1713,0
1523050702,3,0.5,187,0
1523050694,7,0.5,48,0
1523050693,0,0.5,2847,0
1523050712,588,0.5,2537,0
1523050702,0,0.5,7630,0
1523050699,505,0.5,0,0
1523050702,505,0.5,0,0
1523050696,14,0.5,4762,0
1523050697,0,0.5,80,0
1523050712,33,0.5,1142,0
1523050696,455,0.5,64,0
1523050709,505,0.5,0,0
1523050702,0,0.5,7630,0
1523050694,7,0.5,48,0
1523050702,505,0.5,0,0
1523050699,505,0.5,0,0
1523050702,3265,0.5,257,0
1523050699,759,0.5,46,0
1523050694,0,0.5,18868,0
1523050686,0,0.5,18868,0
1523050687,0,0.5,9392,0
1523050689,35,0.5,4942,0
1523050690,81,0.5,1719,0
1523050691,0,0.5,1253,0
1523050694,7,0.5,48,0
1523050696,455,0.5,64,0
1523050687,0,0.5,9392,0
1523050704,23,0.5,150,0
1523050691,505,0.5,0,0
1523050697,0,0.5,80,0
1523050691,0,0.5,191,0
1523050691,0,0.5,1253,0
1523050690,81,0.5,1719,0
1523050691,0,0.5,213,0
1523050691,505,0.5,0,0
1523050694,7,0.5,48,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,191,0
1523050687,0,0.5,9392,0
1523050689,35,0.5,4942,0
1523050691,0,0.5,213,0
1523050694,0,0.5,18868,0
1523050690,81,0.5,1719,0
1523050703,34,0.5,35,0
1523050697,0,0.5,80,0
1523050694,0,0.5,18868,0
1523050706,594,0.5,2537,0
1523050697,4867,0.5,1350,0
1523050697,713,0.5,10738,0
1523050691,505,0.5,0,0
1523050691,0,0.5,191,0
1523050691,0,0.5,1253,0
1523050690,81,0.5,1719,0
1523050691,0,0.5,213,0
1523050691,509,0.5,0,0
1523050693,0,0.5,2847,0
1523050687,0,0.5,9392,0
1523050696,0,0.5,9392,0
1523050689,35,0.5,4942,0
1523050694,7,0.5,48,0
1523050691,0,0.5,213,0
1523050703,345,0.5,1381,0
1523050696,0,0.5,9392,0
1523050691,505,0.5,0,0
1523050700,193,0.5,1713,0
1523050702,0,0.5,7630,0
1523050696,14,0.5,4762,0
1523050703,758,0.5,4942,0
1523050702,3265,0.5,257,0
1523050704,23,0.5,150,0
1523050703,34,0.5,35,0
1523050702,505,0.5,0,0
1523050691,0,0.5,1253,0
1523050691,0,0.5,213,0
1523050693,0,0.5,2847,0
1523050696,455,0.5,64,0
1523050691,0,0.5,191,0
1523050694,0,0.5,18868,0
1523050694,7,0.5,48,0
1523050706,594,0.5,2537,0
1523050697,0,0.5,80,0
1523050696,0,0.5,9392,0
1523050696,455,0.5,64,0
1523050697,4867,0.5,1350,0
1523050684,7,0.5,435,0
1523050691,0,0.5,213,0
1523050691,503,0.5,0,0
1523050691,0,0.5,191,0
1523050690,81,0.5,1719,0
1523050691,503,0.5,0,0
1523050694,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050694,7,0.5,48,0
1523050706,1,0.5,1867,0
1523050690,81,0.5,1719,0
1523050691,503,0.5,0,0
1523050696,0,0.5,9392,0
1523050697,713,0.5,10738,0
1523050702,3,0.5,187,0
1523050685,4,0.5,270,0
1523050689,35,0.5,4942,0
1523050697,4867,0.5,1350,0
1523050696,14,0.5,4762,0
1523050691,509,0.5,0,0
1523050696,0,0.5,9392,0
1523050702,3265,0.5,257,0
1523050691,0,0.5,191,0
1523050694,0,0.5,18868,0
1523050694,7,0.5,48,0
1523050706,0,0.5,47,0
1523050687,0,0.5,9392,0
1523050691,0,0.5,1253,0
1523050693,0,0.5,2847,0
1523050700,193,0.5,1713,0
1523050691,503,0.5,0,0
1523050686,0,0.5,18868,0
1523050690,81,0.5,1719,0
1523050685,4,0.5,270,0
1523050699,503,0.5,0,0
1523050698,0,0.5,18868,0
1523050691,504,0.5,0,0
1523050691,0,0.5,213,0
1523050690,81,0.5,1719,0
1523050702,0,0.5,7630,0
1523050697,0,0.5,80,0
1523050702,505,0.5,0,0
1523050686,0,0.5,18868,0
1523050700,0,0.5,9392,0
1523050687,0,0.5,9392,0
1523050699,759,0.5,46,0
1523050689,35,0.5,4942,0
1523050687,0,0.5,9392,0
1523050689,35,0.5,4942,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050709,505,0.5,0,0
1523050691,0,0.5,1253,0
1523050689,35,0.5,4942,0
1523050703,345,0.5,1381,0
1523050709,505,0.5,0,0
1523050690,81,0.5,1719,0
1523050702,505,0.5,0,0
1523050693,0,0.5,2847,0
1523050709,1,0.5,612,0
1523050706,0,0.5,47,0
1523050703,345,0.5,1381,0
1523050703,758,0.5,4942,0
1523050702,3,0.5,187,0
1523050706,594,0.5,2537,0
1523050703,34,0.5,35,0
1523050700,193,0.5,1713,0
1523050691,0,0.5,191,0
1523050704,23,0.5,150,0
1523050706,1,0.5,1867,0
1523050702,0,0.5,7630,0
1523050713,0,0.5,292,0
1523050702,0,0.5,7630,0
1523050702,3265,0.5,257,0
1523050709,652,0.5,47,0
1523050690,81,0.5,1719,0
1523050691,503,0.5,0,0
1523050685,4,0.5,270,0
1523050691,0,0.5,213,0
1523050706,0,0.5,47,0
1523050697,4867,0.5,1350,0
1523050696,14,0.5,4762,0
1523050691,0,0.5,213,0
1523050697,0,0.5,80,0
1523050699,505,0.5,0,0
1523050693,0,0.5,2847,0
1523050697,0,0.5,80,0
1523050691,0,0.5,191,0
1523050699,759,0.5,46,0
1523050697,713,0.5,10738,0
1523050690,81,0.5,1719,0
1523050689,35,0.5,4942,0
1523050694,7,0.5,48,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,1253,0
1523050693,0,0.5,2847,0
1523050686,0,0.5,18868,0
1523050691,505,0.5,0,0
1523050693,0,0.5,2847,0
1523050706,1,0.5,1867,0
1523050694,7,0.5,48,0
1523050694,0,0.5,18868,0
1523050696,455,0.5,64,0
1523050698,0,0.5,18868,0
1523050703,34,0.5,35,0
1523050684,7,0.5,435,0
1523050691,0,0.5,1253,0
1523050694,0,0.5,18868,0
1523050696,14,0.5,4762,0
1523050696,455,0.5,64,0
1523050687,0,0.5,9392,0
1523050685,4,0.5,270,0
1523050703,758,0.5,4942,0
1523050696,0,0.5,9392,0
1523050706,1,0.5,1867,0
1523050706,594,0.5,2537,0
1523050706,0,0.5,47,0
1523050691,0,0.5,191,0
1523050694,0,0.5,18868,0
1523050703,34,0.5,35,0
1523050704,23,0.5,150,0
1523050703,345,0.5,1381,0
1523050702,3265,0.5,257,0
1523050703,758,0.5,4942,0
1523050684,7,0.5,435,0
1523050685,4,0.5,270,0
1523050697,0,0.5,80,0
1523050696,0,0.5,9392,0
1523050704,23,0.5,150,0
1523050709,652,0.5,47,0
1523050697,0,0.5,80,0
1523050702,3,0.5,187,0
1523050691,503,0.5,0,0
1523050696,0,0.5,9392,0
1523050697,713,0.5,10738,0
1523050696,14,0.5,4762,0
1523050691,0,0.5,191,0
1523050697,713,0.5,10738,0
1523050696,14,0.5,4762,0
1523050697,4867,0.5,1350,0
1523050697,0,0.5,80,0
1523050697,0,0.5,80,0
1523050698,0,0.5,18868,0
1523050693,0,0.5,2847,0
1523050696,14,0.5,4762,0
1523050687,0,0.5,9392,0
1523050689,35,0.5,4942,0
1523050703,758,0.5,4942,0
1523050691,0,0.5,1253,0
1523050702,3265,0.5,257,0
1523050686,0,0.5,18868,0
1523050689,35,0.5,4942,0
1523050685,4,0.5,270,0
1523050684,7,0.5,435,0
1523050702,0,0.5,7630,0
1523050702,3265,0.5,257,0
1523050691,505,0.5,0,0
1523050712,33,0.5,1142,0
1523050690,81,0.5,1719,0
1523050694,7,0.5,48,0
1523050693,0,0.5,2847,0
1523050694,0,0.5,18868,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,1253,0
1523050689,35,0.5,4942,0
1523050686,0,0.5,18868,0
1523050684,7,0.5,435,0
1523050690,81,0.5,1719,0
1523050685,4,0.5,270,0
1523050687,0,0.5,9392,0
1523050691,0,0.5,213,0
1523050694,0,0.5,18868,0
1523050693,0,0.5,2847,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050687,0,0.5,9392,0
1523050684,7,0.5,435,0
1523050686,0,0.5,18868,0
1523050694,0,0.5,18868,0
1523050691,509,0.5,0,0
1523050690,81,0.5,1719,0
1523050685,4,0.5,270,0
1523050694,7,0.5,48,0
1523050684,7,0.5,435,0
1523050686,0,0.5,18868,0
1523050697,713,0.5,10738,0
1523050689,35,0.5,4942,0
1523050691,503,0.5,0,0
1523050687,0,0.5,9392,0
1523050687,0,0.5,9392,0
1523050696,455,0.5,64,0
1523050691,0,0.5,191,0
1523050689,35,0.5,4942,0
1523050686,0,0.5,18868,0
1523050706,0,0.5,47,0
1523050697,4867,0.5,1350,0
1523050691,503,0.5,0,0
1523050694,7,0.5,48,0
1523050684,7,0.5,435,0
1523050706,1,0.5,1867,0
1523050696,0,0.5,9392,0
1523050696,0,0.5,9392,0
1523050700,0,0.5,9392,0
1523050698,0,0.5,18868,0
1523050699,759,0.5,46,0
1523050696,455,0.5,64,0
1523050696,14,0.5,4762,0
1523050703,758,0.5,4942,0
1523050703,345,0.5,1381,0
1523050703,34,0.5,35,0
1523050694,7,0.5,48,0
1523050706,1,0.5,1867,0
1523050697,4867,0.5,1350,0
1523050702,0,0.5,7630,0
1523050702,3265,0.5,257,0
1523050684,7,0.5,435,0
1523050691,0,0.5,213,0
1523050700,193,0.5,1713,0
1523050686,0,0.5,18868,0
1523050694,7,0.5,48,0
1523050696,455,0.5,64,0
1523050685,4,0.5,270,0
1523050689,35,0.5,4942,0
1523050687,0,0.5,9392,0
1523050684,7,0.5,435,0
1523050696,0,0.5,9392,0
1523050696,0,0.5,9392,0
1523050691,0,0.5,1253,0
1523050694,0,0.5,18868,0
1523050693,0,0.5,2847,0
1523050691,0,0.5,213,0
1523050691,0,0.5,191,0
1523050691,504,0.5,0,0
1523050690,81,0.5,1719,0
1523050696,455,0.5,64,0
1523050696,14,0.5,4762,0
1523050694,7,0.5,48,0
1523050689,35,0.5,4942,0
1523050687,0,0.5,9392,0
1523050686,0,0.5,18868,0
1523050685,4,0.5,270,0
1523050702,505,0.5,0,0
1523050687,0,0.5,9392,0
1523050690,81,0.5,1719,0
